ID,Title,Description
1,Bioscience and Health Technology Database,"I would like to request UK Life Sciences company data that includes number of related companies, turnover and employment in the aforementioned industry sector. Specifically, these industries are: Pharmaceutical, Medical, Technology, Medical Biotechnology and Industrial Biotechnology. These data will be used for my research to create new insight for business based on company's data within a specific industry."
2,Input-Output Supply and Use Tables,"I would like versions of the Input-Output Supply and Use Tables from 1980-1992. The relevant links at http://data.gov.uk/dataset/input-output_supply_and_use_tables are broken, and not all of the years are even ostensibly available."
3,Final Term Dissertation,I am currently doing research for my final year dissertation. I have decided to base it on the effect of changes in management to organisational culture within the NHS. Is there a database which will provide me with a list of names of people who have been in NHS management within the past 10 years or so?
4,Leisure Centres,"I am looking for data on use of public sector owned leisure centres and on activities used. e.g. number of users per day, week, month, times in the day (peaks); and what they did (swim, table tennis, zumba). I am surprised at the lack of free public data available on this subject, when the industry is very data rich and market led."
5,Broad Rental Market Areas,A copy of the Broad Rental Market Areas (BRMA) geographic boundaries in a useable digital format
6,Major Employers in Yorkshire,"Hello,If possible i would like a list of business's which employ over 1,000 people within the Yorkshire region.Many thanks."
7,MOT failure rates by month 2008 to 2009 and 2009 to 2010 (F0002697),"MoT failure rates on passsenger cars - by car marque and by region.  This information has been releases for the years 2008, 2009, 2010. Do you have the data available for 2011/2012/2013?"
8,Population by office building,Looking to find office buildings in Central London and Greater London that house 200 or more people in the office location. The 200 number can be comprised of many businesses located in one office address or a single business that houses 200 people at the location.
9,Bicycle accidents on London roads.,"I need datasets for bicycle accidents on London Roads.I am study at London South bank university, i need this information for my final year Project"
10,No. of deaths in last 20 years (by age),Number of deaths in the last 20 years by any cause of death. Counts are required by age at death
11,Water Hardness boundaries,"I need data for the England, Scotland, Wales similar to this below for NI that displays the water hardness classification and the geo-json boundaries"
12,Land Use Statistics GLUD - London - 2013,Generalised land use database for the whole London for the year of 2013.
13,modelled background pollution PM10 monthly avergage 2011-15,"Modelled background pollution data for pm10 for at a high resolution for use as a raster map in GIS across the UK. Starting with January 2011 and ending in as close to the present day as possible. To be use at least at the local authority level and preferably using x, y coordinates or OS grid references. Same as data here/similar (http://uk-air.defra.gov.uk/data/pcm-data) but at the monthly timeframe level."
14,ATM Locations,"A location database which holds all ATM locations within the UK. The dataset would need to contain physical location (i.e. lat/long) and (if possible) the type of ATM (Free/Surcharge) and the owner (HSBC, NatWest). It looks like this dataset already exists for Sunderland."
15,Hourly Rainfall Records for DN12,"Hourly (or less) resolution rainfall records for three 5 week periods commencing 25th May 2007, 26th December 2007 & 6th June 2012, recorded at or from the nearest observation station to DN12 South Yorkshire."
16,"Property prices in melksham, wiltshire 1991",I am challenging my council tax banding and need to see what properties like mine were selling for in 1991.
17,council tax bands for every council,I would like to access an up to date record of ALL council tax bands for every council.
18,"Reduced air quality in Nottingham, ref Players St Fire","Can I have the air quality data for Nottingham from Monday 30th March till the present day or most recent data available. This is following a large fire in Nottingham on Players St, Radford. If possible I would like to see over all air quality before the incident, and decline during the period stated. Also and any chemical identification that has been identified would be useful."
